rank,lane,ticker,trade legs,expiry,next-session swing entry target,current Schwab mid/natural reference,profit target,max loss,reward/risk,suggested size,swing hold window,stop/invalidation,gap-risk plan +/-1% open,EOD trend evidence,flow/OI evidence,regime fit,catalyst/earnings risk,target price methodology,OCO bracket order logic,blocker before entry,manual review instruction,why this is worth reviewing tomorrow,display status,final disposition,setup family,setup family key,safety calibration flags,expected win rate,win-rate basis,confidence evidence,per-ticket replay edge,payoff evidence,confidence rating,expected average win,expected average loss,expected value,implied profit factor
1,Execute,NOW,Bull Put Credit Spread: sell NOW 2026-09-18 115P / buy NOW 2026-09-18 110P,2026-09-18,>= $1.25 credit,1.44 / 1.27,$62.50,$375.00,0.17,1 contract only; Medium credit sleeve,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=5.3; confirm=7.5,"top-flow rank 45; net premium $2,409,554; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 25.8% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.44; quote width 5.2%; prior outcome sample n=0; flow/OI quality directional/supportive,"Submit only with OCO attached: entry Bull Put Credit Spread: sell NOW 2026-09-18 115P / buy NOW 2026-09-18 110P at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.",No hard blocker; enter only at/inside target with attached OCO after same-session quote refresh.,"Fresh Schwab quote, news, OI, portfolio-risk check, and OCO bracket must all pass before manual order entry.","top-flow rank 45; net premium $2,409,554; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction; historical edge=unavailable; probationary final-structure EV=$68.56, PF=12.33; thin_replay_sample:n=0;price_action_trend;credit_ev_not_supported:unavailable; V4 one-contract probationary Pilot: Schwab reference meets target, no hard blocker, final-structure EV $68.56 and PF 12.33, medium credit-policy tier, defined OCO required before order entry.; confidence rank 2; primary ",🟣 ENTER / Execute,Execute,Credit spreads,NOW :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$97.52,$-26.97,$69.30,12.33
2,Execute,ASTS,Bull Put Credit Spread: sell ASTS 2026-09-18 65P / buy ASTS 2026-09-18 55P,2026-09-18,>= $1.50 credit,2.70 / 2.49,$75.00,$850.00,0.09,1 contract only; Medium credit sleeve,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $3.00 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $1.50 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=1.7; confirm=6.2,"top-flow rank 32; net premium $2,639,199; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 90 days; Structured earnings/event date is known and outside 7 days (2026-11-09). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 24.9% of $10 width; entry target >= $1.50 credit; expected-move support ratio 0.42; quote width 10.0%; prior outcome sample n=0; flow/OI quality directional/supportive,"Submit only with OCO attached: entry Bull Put Credit Spread: sell ASTS 2026-09-18 65P / buy ASTS 2026-09-18 55P at >= $1.50 credit; if filled at the minimum $1.50 credit, set OCO take-profit BUY TO CLOSE near $0.75 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.",No hard blocker; enter only at/inside target with attached OCO after same-session quote refresh.,"Fresh Schwab quote, news, OI, portfolio-risk check, and OCO bracket must all pass before manual order entry.","top-flow rank 32; net premium $2,639,199; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction; historical edge=unavailable; probationary final-structure EV=$138.78, PF=12.33; fallback income blocked: secondary_income_thin_sample:n=0; acceptable_secondary_income cannot override weak/negative evidence; V4 one-contract probationary Pilot: Schwab reference meets target, no hard blocker, final-structure EV $138.78 and PF 12.33, medium credit-policy tier, defined OCO require",🟣 ENTER / Execute,Execute,Credit spreads,ASTS :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$221.05,$-61.13,$157.08,12.33
3,Execute,U,Bull Put Credit Spread: sell U 2026-09-18 42P / buy U 2026-09-18 39P,2026-09-18,>= $0.75 credit,0.95 / 0.84,$37.50,$225.00,0.17,1 contract only; Medium credit sleeve,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $1.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $0.75 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=1.8; confirm=5.7,OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive,"income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 28.6% of $3 width; entry target >= $0.75 credit; expected-move support ratio 0.27; quote width 11.4%; prior outcome sample n=0; flow/OI quality directional/matched_unconfirmed,"Submit only with OCO attached: entry Bull Put Credit Spread: sell U 2026-09-18 42P / buy U 2026-09-18 39P at >= $0.75 credit; if filled at the minimum $0.75 credit, set OCO take-profit BUY TO CLOSE near $0.38 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.",No hard blocker; enter only at/inside target with attached OCO after same-session quote refresh.,"Fresh Schwab quote, news, OI, portfolio-risk check, and OCO bracket must all pass before manual order entry.","OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive; historical edge=unavailable; probationary final-structure EV=$39.55, PF=12.33; thin_replay_sample:n=0;decision_marginal_live_liquidity;price_action_trend;credit_ev_not_supported:unavailable;liquidity_quote_quality; V4 one-contract probationary Pilot: Schwab reference meets target, no hard blocker, final-structure EV $39.55 and PF 12.33, medium credit-policy tier, defined OCO required before order entry.; co",🟣 ENTER / Execute,Execute,Credit spreads,U :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$58.51,$-16.18,$41.58,12.33
4,Index/ETF,QQQ,Bear Call Credit Spread: sell QQQ 2026-09-18 747C / buy QQQ 2026-09-18 755C,2026-09-18,>= $2.00 credit,2.40 / 2.34,$100.00,$600.00,0.17,1 contract only; Medium credit sleeve,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $4.00 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $2.00 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=5.9; confirm=7.5,"top-flow rank 4; net premium $-3,020,315; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; V4 confirmation: no near-term event found in UW data; local macro/news capture present.,target credit is 29.3% of $8 width; entry target >= $2.00 credit; expected-move support ratio 0.51; quote width 0.8%; prior outcome sample n=0; flow/OI quality directional/supportive,"Submit only with OCO attached: entry Bear Call Credit Spread: sell QQQ 2026-09-18 747C / buy QQQ 2026-09-18 755C at >= $2.00 credit; if filled at the minimum $2.00 credit, set OCO take-profit BUY TO CLOSE near $1.00 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.",No hard blocker; enter only at/inside target with attached OCO after same-session quote refresh.,"Fresh Schwab quote, news, OI, portfolio-risk check, and OCO bracket must all pass before manual order entry.","top-flow rank 4; net premium $-3,020,315; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$77.96, PF=2.28; thin_replay_sample:n=0;price_action_trend;credit_ev_not_supported:unavailable; V4 one-contract probationary Pilot: Schwab reference meets target, no hard blocker, final-structure EV $77.96 and PF 2.28, medium credit-policy tier, defined OCO required before order entry.; Selected as the highest-ranke",🟣 ENTER / Execute,Execute,Credit spreads,QQQ :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$194.43,$-267.15,$82.64,2.28
5,Index/ETF,SPY,Bear Call Credit Spread: sell SPY 2026-09-18 790C / buy SPY 2026-09-18 796C,2026-09-18,>= $1.50 credit,1.77 / 1.74,$75.00,$450.00,0.17,1 contract only; Medium credit sleeve,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $3.00 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.50 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=4.2; confirm=7.5,"top-flow rank 1; net premium $-37,269,731; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; V4 confirmation: no near-term event found in UW data; local macro/news capture present.,target credit is 29.0% of $6 width; entry target >= $1.50 credit; expected-move support ratio 0.53; quote width 0.8%; prior outcome sample n=0; flow/OI quality directional/supportive,"Submit only with OCO attached: entry Bear Call Credit Spread: sell SPY 2026-09-18 790C / buy SPY 2026-09-18 796C at >= $1.50 credit; if filled at the minimum $1.50 credit, set OCO take-profit BUY TO CLOSE near $0.75 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.",No hard blocker; enter only at/inside target with attached OCO after same-session quote refresh.,"Fresh Schwab quote, news, OI, portfolio-risk check, and OCO bracket must all pass before manual order entry.","top-flow rank 1; net premium $-37,269,731; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$58.67, PF=2.28; thin_replay_sample:n=0;decision_score_below_medium;price_action_trend;credit_ev_not_supported:unavailable; V4 one-contract probationary Pilot: Schwab reference meets target, no hard blocker, final-structure EV $58.67 and PF 2.28, medium credit-policy tier, defined OCO required before order entry.; ",🟣 ENTER / Execute,Execute,Credit spreads,SPY :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$145.82,$-200.37,$61.98,2.28
6,Swing Target / Work Limit,IBM,Bull Put Credit Spread: sell IBM 2026-09-18 225P / buy IBM 2026-09-18 220P,2026-09-18,>= $1.25 credit,1.47 / 1.05,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=5.0; confirm=7.5,"top-flow rank 30; net premium $3,342,654; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 78 days; Structured earnings/event date is known and outside 7 days (2026-10-28). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 26.5% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.38; quote width 11.0%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bull Put Credit Spread: sell IBM 2026-09-18 225P / buy IBM 2026-09-18 220P at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.05 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 30; net premium $3,342,654; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction; historical edge=unavailable; probationary final-structure EV=$67.82, PF=12.33; thin_replay_sample:n=0;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.05 is below expectancy-safe minimum $1.25; work the limit, do no",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,IBM :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$97.52,$-26.97,$69.30,12.33
7,Swing Target / Work Limit,CHTR,Bull Put Credit Spread: sell CHTR 2026-09-18 140P / buy CHTR 2026-09-18 135P,2026-09-18,>= $1.25 credit,1.45 / 1.00,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=4.7; confirm=7.5,OI supportive; exact-leg OI/side bias supports bullish direction,"income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 80 days; Structured earnings/event date is known and outside 7 days (2026-10-30). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 26.1% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.40; quote width 16.7%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bull Put Credit Spread: sell CHTR 2026-09-18 140P / buy CHTR 2026-09-18 135P at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.00 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","OI supportive; exact-leg OI/side bias supports bullish direction; historical edge=unavailable; probationary final-structure EV=$68.19, PF=12.33; thin_replay_sample:n=0;decision_score_below_medium;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.00 is below expectancy-safe minimum $1.25; work the limit, do not accept less",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,CHTR :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$97.52,$-26.97,$69.30,12.33
8,Swing Target / Work Limit,UAL,Bull Put Credit Spread: sell UAL 2026-09-18 120P / buy UAL 2026-09-18 115P,2026-09-18,>= $1.25 credit,1.49 / 1.19,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=2.9; confirm=7.1,OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive,"income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 71 days; Structured earnings/event date is known and outside 7 days (2026-10-21). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 26.7% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.35; quote width 10.5%; prior outcome sample n=0; flow/OI quality directional/matched_unconfirmed,"If this converts to Execute, attach OCO: entry Bull Put Credit Spread: sell UAL 2026-09-18 120P / buy UAL 2026-09-18 115P at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.19 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive; historical edge=unavailable; probationary final-structure EV=$67.64, PF=12.33; thin_replay_sample:n=0;decision_score_below_medium;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.19 is below expectancy-safe minimum $1.25; work the limit, do not ac",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,UAL :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$97.52,$-26.97,$69.30,12.33
9,Swing Target / Work Limit,U,Bull Put Credit Spread: sell U 2026-09-18 40P / buy U 2026-09-18 39P,2026-09-18,>= $0.25 credit,0.28 / 0.17,$12.50,$75.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $0.50 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $0.25 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=3.0; confirm=7.1,OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive,"income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 25.2% of $1 width; entry target >= $0.25 credit; expected-move support ratio 0.51; quote width 11.4%; prior outcome sample n=0; flow/OI quality directional/matched_unconfirmed,"If this converts to Execute, attach OCO: entry Bull Put Credit Spread: sell U 2026-09-18 40P / buy U 2026-09-18 39P at >= $0.25 credit; if filled at the minimum $0.25 credit, set OCO take-profit BUY TO CLOSE near $0.12 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.17 is below expectancy-safe minimum $0.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","OI matched_unconfirmed; exact leg matched but OI/side bias is not directionally decisive; historical edge=unavailable; probationary final-structure EV=$13.86, PF=12.33; thin_replay_sample:n=0;decision_score_below_medium;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.17 is below expectancy-safe minimum $0.25; work the limit, do not ac",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,U :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$19.50,$-5.39,$13.86,12.33
10,Swing Target / Work Limit,IBM,Bull Put Credit Spread: sell IBM 2026-09-18 225P / buy IBM 2026-09-18 215P,2026-09-18,>= $2.50 credit,2.67 / 2.37,$125.00,$750.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $5.00 or short strike is threatened,"Gap +1%: bullish thesis improves, but do not chase; enter only if >= $2.50 credit still holds with fresh OI/news confirmation. Gap -1%: thesis weakens; downgrade to Scout/Research unless support, flow, and quote width reconfirm.",Bull Put; flow=directional; edge=unavailable; score=1.6; confirm=6.2,"top-flow rank 30; net premium $3,342,654; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 78 days; Structured earnings/event date is known and outside 7 days (2026-10-28). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 24.1% of $10 width; entry target >= $2.50 credit; expected-move support ratio 0.38; quote width 7.3%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bull Put Credit Spread: sell IBM 2026-09-18 225P / buy IBM 2026-09-18 215P at >= $2.50 credit; if filled at the minimum $2.50 credit, set OCO take-profit BUY TO CLOSE near $1.25 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $2.37 is below expectancy-safe minimum $2.50; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 30; net premium $3,342,654; flow bullish; OI supportive; exact-leg OI/side bias supports bullish direction; historical edge=unavailable; probationary final-structure EV=$140.26, PF=12.33; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $2.37 is below ex",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,IBM :: bull put credit spread :: 2026-09-18,,77%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PROBATIONARY, family n=21, family PF=12.33, family holdout n=3, family holdout PF=inf (no historical stressed losses); one contract; High confidence unavailable",🟡 MEDIUM · 77% floor,$195.04,$-53.94,$138.60,12.33
